SEATID,COACHTYPE,SEATNUMBER,BEARTH
1,SL,1,LOWER
2,SL,2,MIDDLE
3,SL,3,UPPER
4,SL,4,LOWER
5,SL,5,MIDDLE
6,SL,6,UPPER
7,SL,7,SIDE LOWER
8,SL,8,SIDE UPPER
9,SL,9,LOWER
10,SL,10,MIDDLE
11,SL,11,UPPER
12,SL,12,LOWER
13,SL,13,MIDDLE
14,SL,14,UPPER
15,SL,15,SIDE LOWER
16,SL,16,SIDE UPPER
17,SL,17,LOWER
18,SL,18,MIDDLE
19,SL,19,UPPER
20,SL,20,LOWER
21,SL,21,MIDDLE
22,SL,22,UPPER
23,SL,23,SIDE LOWER
24,SL,24,SIDE UPPER
25,SL,25,LOWER
26,SL,26,MIDDLE
27,SL,27,UPPER
28,SL,28,LOWER
29,SL,29,MIDDLE
30,SL,30,UPPER
31,SL,31,SIDE LOWER
32,SL,32,SIDE UPPER
33,SL,33,LOWER
34,SL,34,MIDDLE
35,SL,35,UPPER
36,SL,36,LOWER
37,SL,37,MIDDLE
38,SL,38,UPPER
39,SL,39,SIDE LOWER
40,SL,40,SIDE UPPER
41,SL,41,LOWER
42,SL,42,MIDDLE
43,SL,43,UPPER
44,SL,44,LOWER
45,SL,45,MIDDLE
46,SL,46,UPPER
47,SL,47,SIDE LOWER
48,SL,48,SIDE UPPER
49,SL,49,LOWER
50,SL,50,MIDDLE
51,SL,51,UPPER
52,SL,52,LOWER
53,SL,53,MIDDLE
54,SL,54,UPPER
55,SL,55,SIDE LOWER
56,SL,56,SIDE UPPER
57,SL,57,LOWER
58,SL,58,MIDDLE
59,SL,59,UPPER
60,SL,60,LOWER
61,SL,61,MIDDLE
62,SL,62,UPPER
63,SL,63,SIDE LOWER
64,SL,64,SIDE UPPER
65,SL,65,LOWER
66,SL,66,MIDDLE
67,SL,67,UPPER
68,SL,68,LOWER
69,SL,69,MIDDLE
70,SL,70,UPPER
71,SL,71,SIDE LOWER
72,SL,72,SIDE UPPER
73,SL,73,LOWER
74,SL,74,MIDDLE
75,SL,75,UPPER
76,SL,76,LOWER
77,SL,77,MIDDLE
78,SL,78,UPPER
79,SL,79,SIDE LOWER
80,SL,80,SIDE UPPER
153,2AC,1,LOWER
154,2AC,2,UPPER
155,2AC,3,LOWER
156,2AC,4,UPPER
157,2AC,5,SIDE LOWER
158,2AC,6,SIDE UPPER
159,2AC,7,LOWER
160,2AC,8,UPPER
161,2AC,9,LOWER
162,2AC,10,UPPER
163,2AC,11,SIDE LOWER
164,2AC,12,SIDE UPPER
165,2AC,13,LOWER
166,2AC,14,UPPER
167,2AC,15,LOWER
168,2AC,16,UPPER
169,2AC,17,SIDE LOWER
170,2AC,18,SIDE UPPER
171,2AC,19,LOWER
172,2AC,20,UPPER
173,2AC,21,LOWER
174,2AC,22,UPPER
