Train_Number,TRAINID,STATIONID,STN_NAME,DISTANCE
1,1,1,,0
2,1,2,,9
3,1,3,,34
28,1,4,,54
4,1,5,,137
5,1,6,,182
6,1,7,,188
7,1,8,,219
9,1,10,,236
10,1,11,,261
11,1,12,,286
12,1,13,,328
13,1,14,,373
14,1,15,,420
15,1,16,,445
16,1,17,,495
17,1,18,,523
18,1,19,,547
19,1,20,,584
20,1,21,,622
21,1,22,,663
22,1,23,,692
23,1,24,,709
24,1,25,,729
25,1,27,,758
26,1,28,,791
27,1,29,,837
8,1,102,,0
31,2,1,,0
32,2,15,,445
29,2,21,,663
30,2,29,,837
33,3,1,,0
34,3,2,,9
35,3,4,,53
36,3,5,,135
37,3,7,,185
38,3,15,,418
39,3,16,,442
40,3,18,,492
41,3,19,,545
42,3,21,,582
43,3,25,,661
46,3,26,,756
44,3,29,,835
45,3,32,,896
47,3,38,,964
48,3,39,,1069
49,3,43,,1099
50,3,45,,1136
51,3,47,,1247
52,3,49,,1379
53,3,50,,1451
54,3,51,,1552
55,3,52,,1653
56,3,53,,1715
57,3,54,,1849
58,3,56,,1964
59,4,1,,0
60,4,4,,53
61,4,15,,442
62,4,29,,835
63,4,43,,1136
64,4,45,,1247
65,4,52,,1715
66,4,56,,1964
67,5,1,,0
68,5,2,,9
69,5,3,,33
70,5,4,,53
72,5,5,,120
73,5,7,,185
74,5,10,,258
75,5,12,,326
76,5,14,,418
77,5,15,,442
78,5,16,,492
79,5,17,,520
80,5,18,,545
81,5,19,,582
82,5,20,,619
83,5,21,,661
84,5,23,,706
85,5,24,,726
86,5,25,,756
90,5,26,,964
87,5,29,,835
71,5,31,,896
88,5,32,,915
89,5,33,,1037
91,5,37,,1069
92,5,38,,1099
93,5,39,,1136
94,5,43,,1200
95,5,44,,1247
96,5,45,,1300
97,5,46,,1330
100,5,47,,1345
101,5,48,,1379
103,5,49,,1439
104,5,50,,1451
105,5,51,,1552
106,5,52,,1653
107,5,53,,1751
108,5,54,,1849
109,5,56,,1957
98,5,57,,1959
99,5,58,,1960
102,5,59,,1964
110,6,1,,0
111,6,2,,9
112,6,4,,53
113,6,7,,185
114,6,15,,442
115,6,19,,582
116,6,21,,661
118,6,26,,964
117,6,29,,835
119,6,39,,109
120,6,43,,1136
121,6,45,,1247
122,6,49,,1451
123,6,50,,1552
124,6,51,,1653
125,6,52,,1715
126,6,53,,1849
127,6,54,,1957
128,6,56,,1964
147,7,1,,0
129,7,2,,9
130,7,4,,33
131,7,7,,53
132,7,10,,185
133,7,12,,258
134,7,13,,326
134,7,14,,418
135,7,15,,442
136,7,16,,492
137,7,17,,520
138,7,18,,545
139,7,19,,582
140,7,20,,619
141,7,21,,661
142,7,22,,690
143,7,23,,706
144,7,24,,726
145,7,25,,756
153,7,26,,964
146,7,28,,832
148,7,29,,835
150,7,32,,896
151,7,33,,915
152,7,34,,935
149,7,92,,849
155,8,3,,0
156,8,4,,16
157,8,5,,34
158,8,7,,166
159,8,10,,239
160,8,12,,307
161,8,13,,352
162,8,14,,399
163,8,15,,423
164,8,16,,473
165,8,17,,501
166,8,18,,526
167,8,19,,563
168,8,20,,600
169,8,21,,642
170,8,22,,671
171,8,23,,687
172,8,24,,707
173,8,25,,737
180,8,26,,946
174,8,28,,813
175,8,29,,816
154,8,30,,878
177,8,32,,896
178,8,33,,916
179,8,34,,968
181,8,35,,983
182,8,36,,1019
183,8,37,,1050
184,8,38,,1081
185,8,39,,1085
186,8,40,,1090
187,8,41,,1095
188,8,42,,1118
189,8,43,,1156
190,8,44,,1182
191,8,45,,1229
192,8,46,,1281
195,8,47,,1312
196,8,48,,1327
198,8,49,,1361
199,8,50,,1412
200,8,51,,1433
201,8,52,,1534
202,8,53,,1635
203,8,54,,1697
204,8,55,,1831
193,8,57,,1920
194,8,58,,1938
197,8,59,,1943
176,8,92,,830
206,9,3,,0
206,9,4,,34
207,9,15,,423
208,9,19,,563
209,9,21,,642
211,9,26,,945
210,9,29,,816
205,9,30,,1050
212,9,38,,1080
213,9,39,,1117
214,9,43,,1228
215,9,45,,1432
216,9,49,,1533
217,9,50,,1634
218,9,51,,1696
219,9,52,,1830
220,9,53,,1938
