ROUTEID,TRAINID,STATIONID,STATIONORDER,SCHEDULEARRIVAL,SCHEDULEDEPARTURE,PLATFORMNUMBER,DAY
1,2,1,1,,19:55,16,1
2,2,15,2,01:50,01:55,3,2
3,2,21,3,04:43,04:45,3,2
4,2,29,4,07:20,,8,2
5,1,1,1,,14:55,15,1
6,1,2,2,15:07,15:10,10,1
7,1,3,3,15:28,15:30,5,1
8,1,4,4,15:52,15:55,4,1
9,1,5,5,17:32,17:37,1,1
10,1,6,6,18:15,18:17,1,1
11,1,7,7,18:25,18:30,2,1
12,1,8,8,18:54,18:55,2,1
13,1,102,9,19:13,19:15,3,1
14,1,10,10,19:33,19:35,2,1
15,1,11,11,19:53,19:55,1,1
16,1,12,12,20:28,20:30,2,1
17,1,13,13,20:59,21:00,3,1
18,1,14,14,21:35,21:37,3,1
19,1,15,15,22:15,22:15,6,1
20,1,16,16,23:05,23:07,2,1
21,1,17,17,23:30,23:32,2,1
22,1,18,18,00:01,00:03,2,2
23,1,19,19,01:00,01:05,2,2
24,1,20,20,01:38,01:40,2,2
25,1,21,21,02:25,02:30,2,2
26,1,22,22,02:54,02:55,1,2
27,1,23,23,03:08,03:10,2,2
28,1,24,24,03:24,03:25,2,2
29,1,25,25,03:47,03:50,1,2
30,1,27,26,04:14,04:15,2,2
31,1,28,27,04:48,04:50,1,2
32,1,29,28,05:45,,5,2
33,3,1,1,,06:00,18,1
34,3,2,2,06:12,06:15,10,1
35,3,4,3,06:52,06:55,4,1
36,3,5,4,08:42,08:47,2,1
37,3,7,5,09:25,09:30,2,1
38,3,15,6,12:35,12:40,3,1
39,3,16,7,13:24,13:25,7,1
40,3,18,8,14:05,14:45,2,1
41,3,19,9,14:40,14:45,2,1
42,3,21,10,16:02,16:05,2,1
43,3,25,11,17:13,17:15,1,1
44,3,29,12,18:55,19:00,6,1
45,3,32,13,19:46,19:48,2,1
46,3,26,14,20:38,20:40,4,1
47,3,38,15,22:03,22:05,1,1
