Train_Number,TRAINID,STATIONID,Stn_Name,Distance,
11057,22,1,C Shivaji Mah T,0,
11057,22,2,Dadar,9,
11057,22,3,Thane,34,
11057,22,4,Kalyan Jn,54,
11057,22,31,Kasara,121,
11057,22,6,Devlali,182,
11057,22,7,Nashik Road,188,
11057,22,10,Manmad Jn,261,
11057,22,12,Chalisgaon Jn,328,
11057,22,13,Pachora Jn,373,
11057,22,14,Jalgaon Jn,420,
11057,22,15,Bhusaval Jn,445,
11057,22,60,Burhanpur,499,
11057,22,83,Khandwa,568,
11057,22,84,Khirkiya,644,
11057,22,85,Harda,676,
11057,22,68,Itarsi Jn,752,
11057,22,69,Narmadapuram,769,
11057,22,86,Rani Kamalapati Habibganj,844,
11057,22,70,Bhopal Jn,850,
11057,22,71,Vidisha,903,
11057,22,73,Ganj Basoda,943,
11057,22,74,Bina Jn,988,
11057,22,75,Lalitpur Jn,1051,
11057,22,76,V Lakshmibai Jhansi Jhs,1141,
11057,22,77,Datia,1165,
11057,22,78,Gwalior,1238,
11057,22,79,Agra Cantt,1356,
11057,22,80,Mathura Jn,1410,
11057,22,81,H Nizamuddin,1543,
11057,22,82,New Delhi,1551,
22221,23,1,C Shivaji Mah T,0,
22221,23,4,Kalyan Jn,54,
22221,23,7,Nashik Road,188,
22221,23,14,Jalgaon Jn,420,
22221,23,15,Bhusaval Jn,445,
22221,23,70,Bhopal Jn,850,
22221,23,76,V Lakshmibai Jhansi Jhs,1141,
22221,23,78,Gwalior,1238,
22221,23,79,Agra Cantt,1356,
22221,23,81,H Nizamuddin,1543,
12171,24,4,Kalyan Jn,38,
12171,24,7,Nashik Road,172,
12171,24,15,Bhusaval Jn,429,
12171,24,83,Khandwa,552,
12171,24,70,Bhopal Jn,834,
12171,24,76,V Lakshmibai Jhansi Jhs,1125,
12171,24,79,Agra Cantt,1341,
12171,24,81,H Nizamuddin,1528,
12172,25,81,H Nizamuddin,251,
12172,25,79,Agra Cantt,438,
12172,25,76,V Lakshmibai Jhansi Jhs,653,
12172,25,70,Bhopal Jn,944,
12172,25,83,Khandwa,1219,
12172,25,15,Bhusaval Jn,1343,
12172,25,7,Nashik Road,1600,
12172,25,4,Kalyan Jn,1734,
22222,26,81,H Nizamuddin,0,
22222,26,79,Agra Cantt,188,
22222,26,78,Gwalior,306,
22222,26,76,V Lakshmibai Jhansi Jhs,403,
22222,26,70,Bhopal Jn,694,
22222,26,15,Bhusaval Jn,1093,
22222,26,14,Jalgaon Jn,1117,
22222,26,7,Nashik Road,1350,
22222,26,4,Kalyan Jn,1484,
22222,26,1,C Shivaji Mah T,1537,
11058,27,82,New Delhi,502,
11058,27,81,H Nizamuddin,509,
11058,27,80,Mathura Jn,643,
11058,27,79,Agra Cantt,697,
11058,27,78,Gwalior,815,
11058,27,77,Datia,887,
11058,27,76,V Lakshmibai Jhansi Jhs,912,
11058,27,75,Lalitpur Jn,1002,
11058,27,74,Bina Jn,1065,
11058,27,73,Ganj Basoda,1110,
11058,27,71,Vidisha,1150,
11058,27,70,Bhopal Jn,1203,
11058,27,86,Rani Kamalapati Habibganj,1209,
11058,27,69,Narmadapuram,1277,
11058,27,68,Itarsi Jn,1295,
11058,27,85,Harda,1370,
11058,27,84,Khirkiya,1402,
11058,27,83,Khandwa,1478,
11058,27,60,Burhanpur,1547,
11058,27,15,Bhusaval Jn,1602,
11058,27,14,Jalgaon Jn,1626,
11058,27,13,Pachora Jn,1673,
11058,27,12,Chalisgaon Jn,1718,
11058,27,10,Manmad Jn,1786,
11058,27,7,Nashik Road,1859,
11058,27,6,Devlali,1864,
11058,27,4,Kalyan Jn,1993,
11058,27,3,Thane,2013,
11058,27,2,Dadar,2037,
11058,27,1,C Shivaji Mah T,2046,
12615,29,90,Mgr Chennai Ctl,5,
12615,29,91,Vijayawada Jn,435,
12615,29,93,Warangal,642,
12615,29,96,Ramagundam,743,
12615,29,95,Sirpur Kagazngr,815,
12615,29,89,Balharshah,885,
12615,29,88,Chandrapur,898,
12615,29,87,Hinganghat,983,
12615,29,9,Sevagram,1020,
12615,29,29,Nagpur,1096,
12615,29,62,Narkher,1181,
12615,29,63,Pandhurna,1200,
12615,29,65,Amla Jn,1263,
12615,29,66,Betul,1286,
12615,29,67,Ghoradongri,1323,
12615,29,68,Itarsi Jn,1393,
12615,29,69,Narmadapuram,1411,
12615,29,86,Rani Kamalapati Habibganj,1485,
12615,29,70,Bhopal Jn,1491,
12615,29,71,Vidisha,1544,
12615,29,73,Ganj Basoda,1584,
12615,29,74,Bina Jn,1630,
12615,29,76,V Lakshmibai Jhansi Jhs,1782,
12615,29,78,Gwalior,1879,
12615,29,79,Agra Cantt,1998,
12615,29,80,Mathura Jn,2051,
12615,29,81,H Nizamuddin,2185,
12615,29,82,New Delhi,2192,
12621,30,90,Mgr Chennai Ctl,0,
12621,30,91,Vijayawada Jn,431,
12621,30,93,Warangal,638,
12621,30,89,Balharshah,880,
12621,30,29,Nagpur,1091,
12621,30,68,Itarsi Jn,1388,
12621,30,70,Bhopal Jn,1487,
12621,30,76,V Lakshmibai Jhansi Jhs,1778,
12621,30,78,Gwalior,1875,
12621,30,79,Agra Cantt,1993,
12621,30,81,H Nizamuddin,2180,
12621,30,82,New Delhi,2188,
20805,31,94,Visakhapatnam,0,
20805,31,91,Vijayawada Jn,350,
20805,31,93,Warangal,557,
20805,31,96,Ramagundam,658,
20805,31,95,Sirpur Kagazngr,730,
20805,31,89,Balharshah,800,
20805,31,88,Chandrapur,814,
20805,31,29,Nagpur,1011,
20805,31,70,Bhopal Jn,1406,
20805,31,76,V Lakshmibai Jhansi Jhs,1697,
20805,31,78,Gwalior,1795,
20805,31,79,Agra Cantt,1913,
20805,31,82,New Delhi,2107,
12723,32,99,Hyderabad Decan,0,
12723,32,98,Secunderabad Jn,10,
12723,32,97,Kazipet Jn,142,
12723,32,96,Ramagundam,234,
12723,32,95,Sirpur Kagazngr,306,
12723,32,89,Balharshah,376,
12723,32,88,Chandrapur,390,
12723,32,29,Nagpur,587,
12723,32,70,Bhopal Jn,983,
12723,32,76,V Lakshmibai Jhansi Jhs,1274,
12723,32,78,Gwalior,1371,
12723,32,79,Agra Cantt,1489,
12723,32,80,Mathura Jn,1543,
12723,32,81,H Nizamuddin,1676,
12723,32,82,New Delhi,1683,
12625,33,100,Trivandrum Cntl,0,
12625,33,91,Vijayawada Jn,1283,
12625,33,93,Warangal,1490,
12625,33,96,Ramagundam,1591,
12625,33,89,Balharshah,1733,
12625,33,88,Chandrapur,1747,
12625,33,9,Sevagram,1868,
12625,33,29,Nagpur,1944,
12625,33,68,Itarsi Jn,2241,
12625,33,70,Bhopal Jn,2339,
12625,33,74,Bina Jn,2478,
12625,33,76,V Lakshmibai Jhansi Jhs,2630,
12625,33,78,Gwalior,2727,
12625,33,79,Agra Cantt,2846,
12625,33,80,Mathura Jn,2900,
12625,33,81,H Nizamuddin,3033,
